LFDNR,KITA_ID,E_NAME,ADRESSE,RECHTSWERT,HOCHWERT,HOMEPAGE,BEZIRK
62,84,St. Gottfried,Düesbergweg 141,404675,5754271,http://www.st-gottfried.de/index.php?id=108,Düesberg
24,125,Pustekuchen,Gasselstiege 115,404191,5759527,http://www.pustekuchen-ms.de,Neutor
84,101,Maria Aparecida,Meckmannweg 72,401795,5754133,http://www.familienzentrum-maria-aparecida.de,Mecklenbeck
344,242,Unter den Eichen,Stratmannweg 15,402073,5753889,http://www.ev-jugendhilfe.de/,Mecklenbeck
93,29,St. Ursula,Könemannstraße 19,399330,5756827,https://www.kirche-mswest.de/kita-st-ursula/,Roxel
1102,,Provi Dötzchen,Regina-Protmann-Straße 31,405088,5760828,-,Kinderhaus-Ost
1061,430,Emil-Stein-Kita,Düesbergweg 102,404933,5754457,-,Düesberg
35,62,Krümel II,Vivaldistraße 18,406780,5759758,http://www.kita-kruemel2.de,Rumphorst
108,40,Killingstrasse,Killingstraße 44,403299,5762010,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Kinderhaus-West
941,115,Pavillon Westerheide (interim),Westerheide 3a,409129,5765119,-,Gelmer/Dyckburg
37,22,St. Elisabeth,Hamburger Straße 43,406619,5756869,http://kitas-sanktmauritz.de/elisabeth/,Hansaplatz
65,74,St. Stephanus,Stephanuskirchplatz 2,404342,5755759,https://www.kirche-mswest.de/kita-st-stephanus/,Aaseestadt
96,33,Nienberge-Häger,Plantstaken 53,401614,5764555,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Nienberge
167,60,Sonnentau,Im Sonnentau 15,403832,5748760,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Amelsbüren
28,3,Rumphorst,Elisabeth-Selbert-Weg 2,407386,5759682,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Rumphorst
122,110,Die Minis,Coermühle 9,405195,5762859,http://www.kita-die-minis.de,Sprakel
743,2,Eichenaue (Dep.),Heriburgstraße 15,411091,5760712,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Handorf
471,423,Blatt-Werk,Meckmannweg 2,401720,5753785,-,Mecklenbeck
94,146,Korbmacherweg,Korbmacherweg 19,398776,5756765,http://www.awo-msl-re.de/awo-vor-ort/vo-ms/vo-kita-ms/vo-kita-korbmacherweg/kindertageseinrichtung-aloysia-delsen.html,Roxel
99,35,Andreas-Kindergarten,Breslauer Straße 154,407077,5761246,http://www.andreas-kindergarten.de/,Coerde
921,401,Kita Albachten Ost,Hohe Geist 7,398912,5753551,-,Albachten
581,149,Gustav-Dietrich-Kita,Alt Angelmodde 15,410546,5753289,-,Angelmodde
118,362,Die Arche,Diesterwegstraße 78,404089,5762097,http://www.die-arche-kindergarten.de/,Kinderhaus-West
342,292,Uppenberg,Friesenring 15,404848,5759118,https://www.outlaw-jugendhilfe.de/,Uppenberg
1022,436,Grevener Straße,Grevener Straße 123,404608,5759625,-,Neutor
161,122,Hiltrup-West,An der Alten Kirche 163,405491,5751157,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Hiltrup
151,138,Berg Fidel,Hogenbergstraße 158,404798,5753568,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Berg Fidel
68,73,Kleine Riesen e. V.,Vorländerweg 50,403583,5755266,http://www.muenster.org/kita-kleine-riesen/,Aaseestadt
341,155,Alte Mauritzschule (Dep.),Warendorfer Straße 66,407131,5757843,http://www.cvjmmuenster.de/,Schlachthof
